                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.7323,                0.84352,                0.97218,                 0.9894,                      1,                  0.995,                0.77923,                0.81806,                 1.3204,                0.95723,             0.00081688,             0.00081688,             0.00081688
                     37,                 0.7505,                0.82115,                0.95592,                 0.9894,                      1,                  0.995,                0.77923,                0.81806,                 1.3204,                0.95723,              0.0008045,              0.0008045,              0.0008045
                     38,                0.71138,                0.80702,                0.93826,                0.99473,                      1,                  0.995,                0.76609,                 0.8836,                 1.2916,                0.96662,             0.00079213,             0.00079213,             0.00079213
                     39,                 0.6829,                0.80633,                0.92191,                0.99745,                      1,                  0.995,                0.77335,                 0.8693,                  1.327,                0.97476,             0.00077975,             0.00077975,             0.00077975
                     40,                0.64052,                0.80914,                0.93242,                0.99399,                      1,                  0.995,                 0.7805,                 0.8536,                  1.311,                 1.0115,             0.00076738,             0.00076738,             0.00076738
                     41,                0.72284,                0.84072,                 0.9762,                0.99399,                      1,                  0.995,                 0.7805,                 0.8536,                  1.311,                 1.0115,               0.000755,               0.000755,               0.000755
                     42,                0.63113,                0.78727,                0.93511,                  0.993,                      1,                  0.995,                 0.7916,                0.88671,                 1.2941,                 1.0157,             0.00074263,             0.00074263,             0.00074263
                     43,                0.63457,                0.80332,                0.92456,                0.99336,                      1,                  0.995,                0.78272,                0.90272,                 1.0769,                0.99366,             0.00073025,             0.00073025,             0.00073025
                     44,                0.59197,                0.76727,                0.89332,                0.99372,                      1,                  0.995,                0.76592,                0.97812,                0.99371,                 1.0166,             0.00071788,             0.00071788,             0.00071788
                     45,                0.60023,                0.73178,                0.88383,                0.99372,                      1,                  0.995,                0.76592,                0.97812,                0.99371,                 1.0166,              0.0007055,              0.0007055,              0.0007055
                     46,                0.66523,                0.81069,                0.95318,                0.99425,                      1,                  0.995,                0.78466,                 0.9598,                 0.9442,                 1.0041,             0.00069313,             0.00069313,             0.00069313
                     47,                0.63376,                0.84931,                0.96714,                0.99344,                      1,                  0.995,                0.77674,                 0.9637,                 1.0084,                 1.0113,             0.00068075,             0.00068075,             0.00068075
                     48,                0.60553,                0.74977,                0.88691,                 0.9937,                      1,                  0.995,                0.78516,                0.96027,                 1.0628,                 1.0059,             0.00066838,             0.00066838,             0.00066838
                     49,                0.59187,                0.73514,                 0.8751,                 0.9937,                      1,                  0.995,                0.78516,                0.96027,                 1.0628,                 1.0059,               0.000656,               0.000656,               0.000656
                     50,                0.61782,                0.81264,                0.90333,                0.99369,                      1,                  0.995,                0.83797,                0.78481,                0.97345,                0.93381,             0.00064362,             0.00064362,             0.00064362
                     51,                0.58331,                0.74718,                0.87224,                0.99484,                      1,                  0.995,                0.83793,                0.77605,                0.87487,                0.94129,             0.00063125,             0.00063125,             0.00063125
                     52,                 0.5998,                0.70339,                0.88853,                0.99517,                      1,                  0.995,                0.84342,                0.77962,                0.83076,                0.95473,             0.00061887,             0.00061887,             0.00061887
                     53,                0.54841,                0.62883,                 0.8581,                0.99517,                      1,                  0.995,                0.84342,                0.77962,                0.83076,                0.95473,              0.0006065,              0.0006065,              0.0006065
                     54,                0.58776,                0.69852,                0.89101,                0.99521,                      1,                  0.995,                0.79721,                0.86181,                0.81915,                0.98555,             0.00059413,             0.00059413,             0.00059413
                     55,                0.59388,                 0.6959,                0.90283,                0.99511,                      1,                  0.995,                0.79844,                0.87609,                0.83775,                  1.007,             0.00058175,             0.00058175,             0.00058175
                     56,                0.59684,                0.74539,                0.89536,                0.99504,                      1,                  0.995,                0.78643,                0.84828,                0.81087,                0.99278,             0.00056938,             0.00056938,             0.00056938
                     57,                0.54524,                0.65181,                0.85895,                0.99504,                      1,                  0.995,                0.78643,                0.84828,                0.81087,                0.99278,               0.000557,               0.000557,               0.000557
                     58,                0.48361,                0.61532,                0.84061,                0.99486,                      1,                  0.995,                0.79199,                0.84884,                0.79228,                 0.9787,             0.00054463,             0.00054463,             0.00054463
                     59,                0.63818,                0.72296,                0.93565,                0.99449,                      1,                  0.995,                0.78646,                0.83743,                0.82787,                 0.9608,             0.00053225,             0.00053225,             0.00053225
                     60,                0.57934,                0.69374,                0.87469,                0.99427,                      1,                  0.995,                0.78964,                0.81796,                0.83471,                0.94786,             0.00051988,             0.00051988,             0.00051988
                     61,                 0.5751,                 0.7326,                0.88697,                0.99427,                      1,                  0.995,                0.78964,                0.81796,                0.83471,                0.94786,              0.0005075,              0.0005075,              0.0005075
                     62,                0.54177,                 0.7006,                0.90161,                0.99427,                      1,                  0.995,                 0.7943,                 0.8136,                0.83468,                0.93974,             0.00049513,             0.00049513,             0.00049513
                     63,                0.51252,                0.69956,                0.83965,                0.99434,                      1,                  0.995,                 0.8035,                0.80568,                0.78643,                0.93974,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.5656,                 0.6555,                0.86854,                0.99441,                      1,                  0.995,                0.79148,                0.79279,                0.74469,                0.94895,             0.00047038,             0.00047038,             0.00047038
                     65,                0.57089,                0.67807,                0.89352,                0.99441,                      1,                  0.995,                0.79148,                0.79279,                0.74469,                0.94895,               0.000458,               0.000458,               0.000458
                     66,                0.51105,                0.62864,                0.86027,                0.99479,                      1,                  0.995,                0.78609,                0.77425,                0.72226,                0.94912,             0.00044563,             0.00044563,             0.00044563
                     67,                0.52558,                0.59917,                0.91081,                0.99506,                      1,                  0.995,                0.77573,                0.79276,                 0.7211,                0.96003,             0.00043325,             0.00043325,             0.00043325
                     68,                0.50906,                0.62035,                0.86682,                0.99513,                      1,                  0.995,                0.79729,                0.81165,                0.73291,                0.96493,             0.00042087,             0.00042087,             0.00042087
                     69,                0.55874,                0.63154,                0.87632,                0.99513,                      1,                  0.995,                0.79729,                0.81165,                0.73291,                0.96493,              0.0004085,              0.0004085,              0.0004085
                     70,                0.50697,                0.62594,                 0.8512,                0.99495,                      1,                  0.995,                0.78969,                0.84977,                0.74228,                0.96843,             0.00039613,             0.00039613,             0.00039613
                     71,                0.51497,                0.59166,                0.89558,                0.99473,                      1,                  0.995,                0.81552,                0.88638,                0.76592,                0.98818,             0.00038375,             0.00038375,             0.00038375
                     72,                0.51626,                 0.6513,                0.86995,                0.99461,                      1,                  0.995,                0.81534,                0.87138,                0.78169,                0.97965,             0.00037138,             0.00037138,             0.00037138
                     73,                0.42157,                0.64657,                0.84021,                0.99461,                      1,                  0.995,                0.81534,                0.87138,                0.78169,                0.97965,               0.000359,               0.000359,               0.000359
                     74,                0.49663,                0.61613,                0.85828,                0.99444,                      1,                  0.995,                0.80144,                0.82145,                 0.7763,                 0.9545,             0.00034663,             0.00034663,             0.00034663
                     75,                 0.4711,                0.60567,                0.85747,                0.99464,                      1,                  0.995,                0.83515,                0.74046,                0.76535,                0.92372,             0.00033425,             0.00033425,             0.00033425
                     76,                0.51712,                0.62403,                0.85494,                0.99489,                      1,                  0.995,                0.82289,                0.70774,                0.75829,                 0.9111,             0.00032188,             0.00032188,             0.00032188
                     77,                0.49855,                0.61269,                0.87821,                0.99489,                      1,                  0.995,                0.82289,                0.70774,                0.75829,                 0.9111,              0.0003095,              0.0003095,              0.0003095
                     78,                 0.5046,                0.63654,                0.87424,                0.99491,                      1,                  0.995,                 0.8266,                 0.7314,                0.73448,                0.90945,             0.00029713,             0.00029713,             0.00029713
                     79,                0.49382,                0.64583,                0.88954,                0.99512,                      1,                  0.995,                0.81465,                0.75246,                0.72068,                0.91026,             0.00028475,             0.00028475,             0.00028475
                     80,                0.49658,                0.59152,                  0.866,                0.99511,                      1,                  0.995,                 0.8421,                0.75893,                0.71898,                0.91261,             0.00027237,             0.00027237,             0.00027237
                     81,                0.57156,                0.58957,                0.89911,                0.99511,                      1,                  0.995,                 0.8421,                0.75893,                0.71898,                0.91261,                0.00026,                0.00026,                0.00026
                     82,                0.50311,                0.59593,                0.87593,                 0.9951,                      1,                  0.995,                 0.8396,                0.75155,                0.71426,                 0.9138,             0.00024762,             0.00024762,             0.00024762
                     83,                0.53202,                0.66856,                0.86071,                0.99503,                      1,                  0.995,                0.82565,                0.74733,                0.68754,                0.91706,             0.00023525,             0.00023525,             0.00023525
                     84,                0.44894,                0.58071,                0.87506,                0.99501,                      1,                  0.995,                0.80633,                0.76307,                0.69085,                0.92275,             0.00022288,             0.00022288,             0.00022288
                     85,                0.49573,                0.63019,                 0.9121,                0.99501,                      1,                  0.995,                0.80633,                0.76307,                0.69085,                0.92275,              0.0002105,              0.0002105,              0.0002105
                     86,                0.46141,                0.56271,                0.85189,                0.99496,                      1,                  0.995,                0.78569,                0.78953,                0.69033,                0.92942,             0.00019813,             0.00019813,             0.00019813
                     87,                 0.4679,                0.58077,                0.84306,                0.99501,                      1,                  0.995,                0.76595,                 0.8282,                0.70058,                0.94241,             0.00018575,             0.00018575,             0.00018575
                     88,                0.42605,                0.53391,                0.84363,                0.99509,                      1,                  0.995,                0.79578,                 0.8586,                0.70951,                0.95679,             0.00017338,             0.00017338,             0.00017338
                     89,                0.50569,                0.60734,                0.90221,                0.99509,                      1,                  0.995,                0.79578,                 0.8586,                0.70951,                0.95679,               0.000161,               0.000161,               0.000161
                     90,                0.43889,                0.55698,                0.83514,                0.99506,                      1,                  0.995,                0.78006,                0.85977,                0.70946,                0.95642,             0.00014862,             0.00014862,             0.00014862
                     91,                0.39149,                0.80531,                0.81786,                0.99502,                      1,                  0.995,                0.77009,                0.85552,                0.70313,                0.95387,             0.00013625,             0.00013625,             0.00013625
                     92,                0.41308,                 0.7859,                0.81481,                  0.995,                      1,                  0.995,                0.77009,                0.84602,                0.70007,                0.95245,             0.00012387,             0.00012387,             0.00012387
                     93,                0.41888,                0.78094,                0.87895,                  0.995,                      1,                  0.995,                0.77009,                0.84602,                0.70007,                0.95245,              0.0001115,              0.0001115,              0.0001115
                     94,                0.41898,                0.74982,                0.79665,                0.99498,                      1,                  0.995,                0.78081,                0.84712,                0.70165,                 0.9564,             9.9125e-05,             9.9125e-05,             9.9125e-05
                     95,                0.38869,                0.75989,                0.85136,                0.99498,                      1,                  0.995,                0.79876,                0.85477,                0.70666,                0.96045,              8.675e-05,              8.675e-05,              8.675e-05
                     96,                0.39739,                0.75426,                0.85364,                0.99505,                      1,                  0.995,                0.79876,                0.85911,                0.71163,                0.96264,             7.4375e-05,             7.4375e-05,             7.4375e-05
                     97,                0.37767,                0.75047,                0.83328,                0.99505,                      1,                  0.995,                0.79876,                0.85911,                0.71163,                0.96264,                6.2e-05,                6.2e-05,                6.2e-05
                     98,                0.39999,                0.75733,                0.84384,                0.99506,                      1,                  0.995,                0.78783,                0.85259,                0.71399,                0.95974,             4.9625e-05,             4.9625e-05,             4.9625e-05
                     99,                0.41446,                 0.7971,                0.83178,                0.99506,                      1,                  0.995,                  0.773,                0.84697,                0.71612,                0.95729,              3.725e-05,              3.725e-05,              3.725e-05
                    100,                0.44769,                0.80462,                0.83705,                0.99503,                      1,                  0.995,                0.79111,                0.84369,                 0.7204,                0.95597,             2.4875e-05,             2.4875e-05,             2.4875e-05
